ID;Session;Period;Session_type;Final_payoff;Lottery;Lottery_payoff;Game_payoff;Period_paid;Currency;Risk_order;ShowUp_fee;EG_q1;EG_q2;EG_q3;EG_q_env1;EG_q_env2;EG_q_ultimatum;Role;Payoff;w;T;a;Good_state;Partner_lottery;Group;Survey_payoff;Survey_strategy;Survey_risk;Survey_genre;Survey_age;Survey_BACplus;Survey_field;Survey_lot;Survey_lot_comment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;2;1;alpha_25;5;1;4;0;9;0,8;NA;5;0;0;1;1;0;0;Retailer;0;0,05;0,04;0;NA;4;7;0;Si l'offreur me propose un gain éventuel suffisamment élevé dans l'instrument 1 pour compenser ma perte éventuelle dans l'instrument 2, j'accepte l'offre. Sinon, je reffuse.;2;m;32;5;eco;0;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;2;1;alpha_25;5;6;0;0;9;0,8;NA;5;0;0;1;1;0;0;Manufacturer;11;0,35;0;1;1;1;3;0;J'ai essayé de ne jamais mettre l'autre en difficulté : les deux gains devaient etre positif. Je jouais donc exclusivement avec l'environnement 1. Une fois j'ai vu quelqu'un avec une loterie qui prenait un peu des risques donc j'ai essayé de jouer un peu avec l'environement B, mais ma proposition a été refusé, donc j'ai arreté, pensant que les autres joueurs auraient le même raisonnement. ;3;f;18;0;shs;1;La fois ou j'ai été confronté a des gens qui prenait un peu plus de risque j'ai joué avec l'environnement B, mais ça n'a pas fonctionné. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;2;1;alpha_25;5;3;3;0;9;0,8;NA;5;0;0;1;1;0;0;Retailer;-1;0,3;0,01;1;0;6;1;0;ça dépend de mes gains potentiels et de la stratégie de l'offreur, s'il a pris le choix de partager les gains ou non;4;m;29;5;inge-info-phy;1;ça me donne une idée sur quel type de personne est l'offreur, s'il est une personne prete a prendre le risque ou non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;2;1;alpha_25;5;2;5;0;9;0,8;NA;5;0;0;1;1;0;0;Retailer;9;0,4;0;1;1;6;2;0;si je perds trop dans l'environnement B je refuse;5;other;20;0;sh-arts-langues;1;je regarde qui prend beaucoup de risque ou non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;2;1;alpha_25;5;2;3,5;0;9;0,8;NA;5;0;0;1;1;0;0;Retailer;0;0,4;0,01;0;NA;3;10;0;Accepter les propositions systématiquement lorsqu'elles étaient en ma faveur, accepter la proposition si le gain dans l'environnement B était nul, et accepter sporadiquement 1 proposition avantageuse dans le cas du potentiel 25%.;6;f;20;0;bio-chim-sante-staps;0;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;2;1;alpha_25;5;1;4;0;9;0,8;NA;5;1;0;1;1;0;0;Retailer;0;0,35;0;1;0;3;11;0;Si l'offre était plus ou moins équitable et/ou si la perte possible était inférieur à la moitié du gain que je pouvais avoir à la loterie;4;f;21;4;inge-info-phy;0;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;2;1;alpha_25;6;3;6;0;9;0,8;NA;5;0;0;1;1;0;0;Manufacturer;12;0,35;0,01;1;1;2;8;0;J'ai observé la propension du receveur à prendre des risques pour reproduire le schéma de ses prises de risque afin de faire une offre adéquate. Cependant quand le receveur avait déjà pris des risques plus importants pour le premier tirage, j'ai choisi de minimiser un peu plus sa prise de risque pour élaborer mon offre. Enfin, pour les joueurs qui ne prennent pas de risque, je me suis résolu à être obligé de ne pas les faire perdre dans tous les cas de figures en acceptant un bénéfice nul pour les deux joueurs pour joueurs ou bien étant donné ma propension à prendre des risques un peu plus importante j'ai accepté de perdre une UME dans le cas B pour en gagner plus dans le cas A;7;m;19;1;droit-iep-gestion-comm;1;argumentation ci-dessus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;2;1;alpha_25;5;1;4;-1;9;0,8;NA;5;1;0;1;1;0;0;Retailer;10;0,35;0;1;1;6;3;0;Si la perte dans l'environnement B était plus ou moins égale ou sans trop de différence, j'acceptais puisqu'en contre partie dans l'environnement A le receveur était gagnant ;3;f;23;2;shs;0;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;2;1;alpha_25;5;1;4;0;9;0,8;NA;5;0;0;1;1;0;0;Retailer;0;0,3;0;1;0;4;6;0;l'esperance positive;8;f;26;5;eco;1;si risque averse, il va pas me proposer le perte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;2;1;alpha_25;6;3;6;0;9;0,8;NA;5;0;0;1;1;0;0;Manufacturer;0;0,4;0,01;0;NA;2;10;0;adapter la proposition au profil joueur ou non de l'autre participant;6;m;19;3;bio-chim-sante-staps;1;"si le receveur parait ""joueur"" on peut lui faire gagner un plus gros gain dans le cas A quitte a lui faire perdre dans le cas B et s'assurer un gain même plus faible dans les deux cas ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
